Country,Attribute,"Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,Implied PPP conversion rate,Total investment,Gross national savings,"Inflation, average consumer prices","Inflation, end of period consumer prices",Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government gross debt,"Gross domestic product corresponding to fiscal year, current prices",Current account balance,Unemployment rate,General government net debt,Employment,General government structural balance,Output gap in percent of potential GDP
Lao P.D.R.,2021,131545.804,180832.526,137.408,17723872.43,24354361.94,0.042,2872.785,,,121.187,125.569,6.198,9.907,15,15.517,7.425,27192.132,29524.209,-2332.078,-625.121,167030.068,180751.075,-0.687,,,,,
Lao P.D.R.,2022,134508.538,217434.622,161.591,17997208.81,29080579.77,0.042,3157.231,,,167.443,206.879,12.226,11.622,7.762,6.943,7.477,32394.965,35944.786,-3549.821,49.448,279455.062,217350.476,-6.869,,,,,
Lao P.D.R.,2023,139846.149,265304.076,189.654,18452013.77,34991397.51,0.042,3574.085,,,213.131,212.8,2.614,-3.042,10.067,0.686,7.582,40010.704,48943.286,-8932.582,837.225,323017.546,265215.627,-2.935,,,,,
Latvia,2017,29.299,113.175,103.837,41897.527,58035.086,0.045,0.484,21.896,23.14,105.892,105.73,8.552,8.552,6.352,6.352,1.95,45.291,46.334,-1.043,0.354,49.5,26.984,1.601,8.715,38.727,0.895,-1.431,
Latvia,2018,31.017,122.934,107.877,43924.477,63551.705,0.046,0.491,23.096,22.932,108.182,108.759,6.341,6.341,4.405,4.405,1.934,48.213,49.165,-0.953,0.269,47.774,29.154,-0.235,7.415,36.993,0.909,-2.018,
Latvia,2019,30.289,126.978,110.677,45391.367,66135.257,0.046,0.495,22.982,22.374,111.277,110.617,3.094,3.094,2.146,2.146,1.92,48.623,49.118,-0.494,0.626,47.746,30.679,-0.832,6.311,36.701,0.91,-2.024,
Latvia,2020,24.784,126.123,111.753,44634.019,66113.717,0.046,0.494,21.858,24.778,108.699,107.461,-0.329,-0.329,-0.345,-0.345,1.908,48.797,53.637,-4.839,-3.709,54.71,30.265,3.899,8.099,42.211,0.893,-4.461,
Latvia,2021,32.517,140.215,119.037,46898.135,74061.217,0.045,0.503,25.139,21.241,115.375,124.343,15.25,15.25,5.918,5.918,1.893,49.983,57.239,-7.254,-6.235,58.381,33.617,-5.456,7.557,44.308,0.864,-9.22,
Latvia,2022,31.784,153.697,134.602,48642.724,81938.631,0.045,0.532,25.749,21.06,148.718,161.272,11.677,11.677,9.118,9.118,1.876,50.815,55.98,-5.165,-4.465,56.771,39.063,-6.624,6.851,44.167,0.886,-6.024,
Latvia,2023,29.666,166.098,147.023,48983.732,88727.07,0.044,0.56,24.218,21.245,154.345,151.747,-0.5,-0.5,-0.2,-0.2,1.872,51.981,57.246,-5.264,-4.488,57.947,42.88,-4.36,6.665,46.149,0.888,-3.98,
Lebanon,2017,65677.903,80100.822,121.715,9646897.702,11746068.33,0.089,734.776,,-4.595,105.043,108.956,0.52,-0.127,-5.068,-0.293,6.819,17542.537,24469.192,-6926.654,605.565,120047.987,79939,-40.373,,115576.4,,-9775.073,
Lebanon,2018,64437.115,82928.21,128.438,9409812.475,12089703.78,0.084,757.154,,-6.155,112.708,111.946,-1.338,-1.729,-3.858,-7.753,6.859,17422.627,26785.926,-9363.3,-1197.407,128502.076,82764,-44.367,,124934.771,,-13552.804,
Lebanon,2019,59976.085,80350.455,133.698,8763843.627,11720225.44,0.076,774.276,,-15.593,112.624,122.444,-4.698,-2.665,-3.475,23.402,6.856,16694.812,25031.194,-8336.382,-258.531,138322.265,80196,-42.119,,134143.061,,-12966.376,
Lebanon,2020,44417.093,95802.237,215.332,6522159.25,14036048.92,0.058,1230.974,,-6.16,287.755,429.887,-50.928,-41.829,-49.666,-21.544,6.825,15354.587,18731.111,-3376.525,-456.496,144258.583,95700,-19.557,,141728.943,,-5714.726,
